#         t        kpc         Ms         Mh       r_jb
      0.000    201.085     15.755     55.788    104.710
     71.429    190.379     13.190     54.476     94.181
    142.857    179.613     12.679     51.593     89.295
    214.286    168.991     12.571     53.090     82.980
    285.714    157.399     12.172     49.629     78.198
    357.143    145.690     12.082     49.556     72.238
    428.571    133.840     11.291     47.777     65.676
    500.000    122.156     10.891     45.061     60.395
    571.429    111.814     10.645     46.425     54.319
    642.857    101.479     10.231     43.153     49.850
    714.286     92.179      9.660     40.492     45.376
    785.714     85.080      9.309     38.281     42.149
    857.143     80.757      8.536     36.463     39.504
    928.571     79.781      8.406     35.773     39.075
   1000.000     82.209      8.503     35.256     40.615
   1071.430     88.932      8.380     38.848     42.332
   1142.860     97.150      8.745     39.402     46.686
   1214.290    106.388      8.742     41.892     50.084
   1285.710    116.168      9.078     43.556     54.666
   1357.140    126.273      9.249     45.725     58.833
   1428.570    136.142      9.454     49.231     62.342
   1500.000    145.590      9.335     51.565     65.370
   1571.430    154.464      9.268     53.369     68.399
   1642.860    163.001      9.212     54.235     71.648
   1714.290    171.042      9.245     55.965     74.490
   1785.710    178.163      9.365     56.350     77.746
   1857.140    184.786      9.201     58.210     79.299
   1928.570    190.708      8.794     58.706     80.388
   2000.000    196.113      8.771     60.127     81.940
   2071.430    200.790      8.630     60.973     83.052
   2142.860    204.672      8.421     60.128     84.360
   2214.290    208.048      8.432     59.911     85.893
   2285.710    211.117      8.499     59.774     87.458
   2357.140    213.663      8.380     59.670     88.147
   2428.570    215.740      7.898     60.062     87.075
   2500.000    217.306      7.794     60.177     87.263
   2571.430    218.305      7.730     59.555     87.729
   2642.860    218.727      7.607     60.064     87.182
   2714.290    218.648      7.510     60.687     86.480
   2785.710    218.025      7.256     60.160     85.499
   2857.140    217.195      7.260     60.119     85.208
   2928.570    215.456      7.088     60.915     83.487
   3000.000    213.210      7.293     60.210     83.731
   3071.430    210.392      7.238     58.199     83.351
   3142.860    206.785      6.864     58.714     80.253
   3214.290    202.724      6.995     58.092     79.454
   3285.710    197.831      6.726     57.564     76.764
   3357.140    192.892      6.566     60.537     73.012
